Iter L2_norm L2_norm_weighted Drag Lift
167 -1.0000e+00 -5.7036e-06 0.000000 0.000000
168 -1.0000e+00 -5.7036e-06 0.000000 0.000000
169 -1.0000e+00 -5.7036e-06 0.000000 0.000000
170 -1.0000e+00 -5.7036e-06 0.000000 0.000000
171 -1.0000e+00 -5.7036e-06 0.000000 0.000000
172 -1.0000e+00 -5.7036e-06 0.000000 0.000000
173 -1.0000e+00 -5.7036e-06 0.000000 0.000000
174 -1.0000e+00 -5.7036e-06 0.000000 0.000000
175 -1.0000e+00 -5.7036e-06 0.000000 0.000000
176 -1.0000e+00 -5.7036e-06 0.000000 0.000000
177 -1.0000e+00 -5.7036e-06 0.000000 0.000000
178 -1.0000e+00 -5.7036e-06 0.000000 0.000000
179 -1.0000e+00 -5.7036e-06 0.000000 0.000000
180 -1.0000e+00 -5.7036e-06 0.000000 0.000000
181 -1.0000e+00 -5.7036e-06 0.000000 0.000000
182 -1.0000e+00 -5.7036e-06 0.000000 0.000000
183 -1.0000e+00 -5.7036e-06 0.000000 0.000000
184 -1.0000e+00 -5.7036e-06 0.000000 0.000000
185 -1.0000e+00 -5.7036e-06 0.000000 0.000000
186 -1.0000e+00 -5.7036e-06 0.000000 0.000000
187 -1.0000e+00 -5.7036e-06 0.000000 0.000000
188 -1.0000e+00 -5.7036e-06 0.000000 0.000000
189 -1.0000e+00 -5.7036e-06 0.000000 0.000000
190 -1.0000e+00 -5.7036e-06 0.000000 0.000000
191 -1.0000e+00 -5.7036e-06 0.000000 0.000000
192 -1.0000e+00 -5.7036e-06 0.000000 0.000000
193 -1.0000e+00 -5.7036e-06 0.000000 0.000000
194 -1.0000e+00 -5.7036e-06 0.000000 0.000000
195 -1.0000e+00 -5.7036e-06 0.000000 0.000000
196 -1.0000e+00 -5.7036e-06 0.000000 0.000000
197 -1.0000e+00 -5.7036e-06 0.000000 0.000000
198 -1.0000e+00 -5.7036e-06 0.000000 0.000000
199 -1.0000e+00 -5.7036e-06 0.000000 0.000000
200 -1.0000e+00 -5.7036e-06 0.036965 0.036965
201 -1.0000e+00 -5.7036e-06 152.727402 152.727402
202 -1.0000e+00 -5.7036e-06 86.813332 86.813332
203 -1.0000e+00 -5.7036e-06 32.771385 32.771385
204 -1.0000e+00 -5.7036e-06 12.367671 12.367671
205 -1.0000e+00 -5.7036e-06 13.677949 13.677949
206 -1.0000e+00 -5.7036e-06 0.086257 0.086257
207 -1.0000e+00 -5.7036e-06 0.312603 0.312603
208 -1.0000e+00 -5.7036e-06 154.116394 154.116394
209 -1.0000e+00 -5.7036e-06 0.000000 0.000000
210 -1.0000e+00 -5.7036e-06 0.000000 0.000000
211 -1.0000e+00 -5.7036e-06 0.000000 0.000000
212 -1.0000e+00 -5.7036e-06 -276690176984481792.000000 -276690176984481792.000000
213 -1.0000e+00 -5.7036e-06 0.000000 0.000000
214 -1.0000e+00 -5.7036e-06 -264586752985923584.000000 -264586752985923584.000000
215 -1.0000e+00 -5.7036e-06 0.000000 0.000000
216 -1.0000e+00 -5.7036e-06 -252483328987365376.000000 -252483328987365376.000000
217 -1.0000e+00 -5.7036e-06 0.000000 0.000000
218 -1.0000e+00 -5.7036e-06 -240379904988807168.000000 -240379904988807168.000000
219 -1.0000e+00 -5.7036e-06 0.000000 0.000000
220 -1.0000e+00 -5.7036e-06 -228276480990248960.000000 -228276480990248960.000000
221 -1.0000e+00 -5.7036e-06 0.000000 0.000000
222 -1.0000e+00 -5.7036e-06 -216173056991690752.000000 -216173056991690752.000000
223 -1.0000e+00 -5.7036e-06 0.000000 0.000000
224 -1.0000e+00 -5.7036e-06 -204069632993132544.000000 -204069632993132544.000000
225 -1.0000e+00 -5.7036e-06 0.000000 0.000000
226 -1.0000e+00 -5.7036e-06 0.000000 0.000000
227 -1.0000e+00 -5.7036e-06 0.000000 0.000000
228 -1.0000e+00 -5.7036e-06 0.000000 0.000000
229 -1.0000e+00 -5.7036e-06 0.000000 0.000000
230 -1.0000e+00 -5.7036e-06 0.000000 0.000000
231 -1.0000e+00 -5.7036e-06 0.000000 0.000000
232 -1.0000e+00 -5.7036e-06 0.000000 0.000000
233 -1.0000e+00 -5.7036e-06 0.000000 0.000000
234 -1.0000e+00 -5.7036e-06 0.000000 0.000000
235 -1.0000e+00 -5.7036e-06 0.000000 0.000000
236 -1.0000e+00 -5.7036e-06 0.000000 0.000000
237 -1.0000e+00 -5.7036e-06 0.000000 0.000000
238 -1.0000e+00 -5.7036e-06 0.000000 0.000000
239 -1.0000e+00 -5.7036e-06 0.000000 0.000000
240 -1.0000e+00 -5.7036e-06 0.000000 0.000000
241 -1.0000e+00 -5.7036e-06 0.000000 0.000000
242 -1.0000e+00 -5.7036e-06 0.000000 0.000000
243 -1.0000e+00 -5.7036e-06 0.000000 0.000000
244 -1.0000e+00 -5.7036e-06 -191966208994574336.000000 -191966208994574336.000000
245 -1.0000e+00 -5.7036e-06 0.000000 0.000000
246 -1.0000e+00 -5.7036e-06 -179862784996016128.000000 -179862784996016128.000000
247 -1.0000e+00 -5.7036e-06 0.000000 0.000000
248 -1.0000e+00 -5.7036e-06 -167759360997457920.000000 -167759360997457920.000000
249 -1.0000e+00 -5.7036e-06 0.000000 0.000000
250 -1.0000e+00 -5.7036e-06 -155655936998899712.000000 -155655936998899712.000000
251 -1.0000e+00 -5.7036e-06 0.000000 0.000000
252 -1.0000e+00 -5.7036e-06 -539310990295040.000000 -539310990295040.000000
253 -1.0000e+00 -5.7036e-06 0.000000 0.000000
254 -1.0000e+00 -5.7036e-06 -492169429254144.000000 -492169429254144.000000
255 -1.0000e+00 -5.7036e-06 0.000000 0.000000
256 -1.0000e+00 -5.7036e-06 -468529929256960.000000 -468529929256960.000000
257 -1.0000e+00 -5.7036e-06 0.000000 0.000000
258 -1.0000e+00 -5.7036e-06 -163209025683456.000000 -163209025683456.000000
259 -1.0000e+00 -5.7036e-06 0.000000 0.000000
260 -1.0000e+00 -5.7036e-06 -58222643773440.000000 -58222643773440.000000
261 -1.0000e+00 -5.7036e-06 0.000000 0.000000
